name,college,major,paper
岳丽欣,中国人民大学,图书情报与数字图书馆;新闻与传媒;行政学及国家行政管理;,基于交互式可视化的领域知识图谱构建研究
刘自强,南京师范大学,图书情报与数字图书馆;计算机软件及计算机应用;科学研究管理;,基于交互式可视化的领域知识图谱构建研究
许海云,山东理工大学,图书情报与数字图书馆;科学研究管理;生物学;,基于交互式可视化的领域知识图谱构建研究
高振龙,江苏省淮安供电公司,电信技术;计算机软件及计算机应用;互联网技术;,基于知识图谱的商场智能导购系统研究
甘春江,南京供电公司,建筑科学与工程;电信技术;计算机软件及计算机应用;,基于知识图谱的商场智能导购系统研究
张海涛,云南省中烟工业公司,轻工业手工业;化学;工业经济;,分析知识图谱在领域知识多维分析中的应用路径
申晓锋,云南省中烟工业公司,轻工业手工业;化学;材料科学;,分析知识图谱在领域知识多维分析中的应用路径
戴怀睿,云南省中烟工业公司,图书情报与数字图书馆;,分析知识图谱在领域知识多维分析中的应用路径
苏杨,云南省中烟工业公司,轻工业手工业;农艺学;材料科学;,分析知识图谱在领域知识多维分析中的应用路径
武华维,西北师范大学,图书情报与数字图书馆;科学研究管理;档案及博物馆;,基于主题模型与知识图谱的电子公文主题标引方法研究
雷洁,中国农业科学院农业信息研究所,档案及博物馆;科学研究管理;电力工业;,基于知识图谱的科研档案管理研究
邓文祥,湖南中医药大学,中医学;中药学;畜牧与动物医学;,证素辨证学心系辨证知识图谱的建立及其应用
王琳,天津大学,计算机软件及计算机应用;,基于张量分解的知识图谱推理算法研究
徐梓豪,东南大学,计算机软件及计算机应用;,基于知识图谱的人物关系问答系统的设计与实现
王元波,东南大学,计算机软件及计算机应用;自动化技术;科学研究管理;,基于专利知识图谱的机器人设计问答系统开发
任梦星,中国科学院大学,计算机软件及计算机应用;图书情报与数字图书馆;,面向舰船知识领域的知识图谱构建关键技术研究
贺博驿,华中师范大学,计算机软件及计算机应用;图书情报与数字图书馆;,思政领域知识图谱构建与系统实现
李琦,大连海事大学,船舶工业;公路与水路运输;仪器仪表工业;,基于机器翻译与知识图谱的船舶信息智能查询研究
王松磊,哈尔滨师范大学,计算机软件及计算机应用;自动化技术;轻工业手工业;,基于机器人知识图谱的智能问答系统的设计与实现
赵思洋,哈尔滨工业大学,计算机软件及计算机应用;自动化技术;,基于联合训练和无监督方法的中文知识图谱问答研究
夏川,哈尔滨工业大学,计算机软件及计算机应用;自动化技术;教育理论与教育管理;,基于众包的课程知识图谱纠错补全研究及系统实现
乔星皓,大连海事大学,计算机软件及计算机应用;,基于知识图谱的Web服务推荐技术研究
吕刚,哈尔滨师范大学,计算机软件及计算机应用;,基于知识图谱的个性化推荐系统研究与应用
谭文杰,哈尔滨工业大学,计算机软件及计算机应用;,基于知识图谱的科技服务推荐方法
曲直,哈尔滨工业大学,生物学;计算机软件及计算机应用;,基于多组学数据的本体注释与知识图谱构建方法研究
唐成达,哈尔滨工业大学,计算机软件及计算机应用;,基于知识图谱的多轮对话技术及其应用研究
刘星焜,哈尔滨工业大学,电力工业;计算机软件及计算机应用;,面向大服务的知识图谱管理平台
